Symbol,Description,Sector
T,AT&T Inc.,Communication Services
SPGI,S&P Global Inc,Financials
AMT,American Tower Corporation,Real Estate
COP,ConocoPhillips,Energy
MDT,Medtronic Plc,Health Care
AXP,American Express,Financials
IBM,International Business Machines Co,Information Technology
GS,Goldman Sachs Group Inc,Financials
ELV,"Elevance Health, Inc.",Health Care
PYPL,Paypal Holdings Inc,Information Technology
LMT,Lockheed Martin Corp,Industrials
BLK,Blackrock Inc,Financials
DE,Deere & Company,Industrials
NFLX,Netflix Inc,Communication Services
ADP,Automatic Data Processing Inc,Information Technology
C,Citigroup Inc,Financials
CAT,Caterpillar Inc,Industrials
SBUX,Starbucks Corp,Consumer Discretionary
BA,Boeing,Industrials
PLD,"Prologis, Inc",Real Estate
NOW,Servicenow Inc,Information Technology
EL,Estee Lauder Inc Class A,Consumer Staples
AMAT,Applied Material Inc,Information Technology
ADI,Analog Devices Inc,Information Technology
MDLZ,Mondelez International Inc,Consumer Staples
GE,General Electric,Industrials
CI,Cigna Corp,Health Care
MMC,Marsh & McLennan Inc,Financials
DUK,Duke Energy Corp,Utilities
MMM,3M,Industrials
BKNG,Booking Holdings Inc,Consumer Discretionary
SYK,Stryker Corp,Health Care
SO,Southern Co,Utilities
TGT,Target Corp,Consumer Discretionary
ISRG,Intuitive Surgical Inc,Health Care
GILD,Gilead Sciences Inc,Health Care
CB,Chubb Ltd,Financials
GOOG,Alphabet Inc Class C,Communication Services
GOOGL,Alphabet Inc Class A,Communication Services
MO,Altria Group Inc,Consumer Staples
ZTS,Zoetis Inc,Health Care
CCI,Crown Castle International Corp.,Real Estate
TJX,"TJX Companies, Inc.",Consumer Discretionary
VRTX,Vertex Pharmaceuticals Inc,Health Care
CHTR,Charter Communications Inc Class A,Communication Services
BDX,Becton Dickinson,Health Care
NOC,Northrop Grumman Corp,Industrials
CME,CME Group Inc Class A,Financials
CSX,CSX Corp,Industrials
USB,US Bancorp,Financials
WM,Waste Management Inc,Industrials
PNC,"PNC Financial Services Group, Inc.",Financials
PGR,Progressive Corp,Financials
D,Dominion Energy Inc,Utilities
FISV,Fiserv Inc,Information Technology
LRCX,Lam Research Corp,Information Technology
MU,Micron Technology Inc,Information Technology
REGN,Regeneron Pharmaceuticals Inc,Health Care
TFC,Truist Financial Corporation,Financials
CL,Colgate-Palmolive,Consumer Staples
ITW,Illinois Tool Inc,Industrials
MRNA,"Moderna, Inc.",Health Care
SHW,Sherwin Williams,Materials
GD,General Dynamics Corp,Industrials
EOG,EOG Resources Inc,Energy
NSC,Norfolk Southern Corp,Industrials
F,Ford Motor Company,Consumer Discretionary
EQIX,"Equinix, Inc.",Real Estate
AON,Aon Plc,Financials
EW,Edwards Lifesciences Corp,Health Care
ATVI,Activision Blizzard Inc,Communication Services
FIS,Fidelity National Information Services,Information Technology
HUM,Humana Inc,Health Care
ICE,Intercontinental Exchange Inc,Financials
PSA,Public Storage,Real Estate
FDX,FedEx Corporation,Industrials
HCA,"HCA Healthcare, Inc.",Health Care
ETN,"Eaton Corporation, PLC",Industrials
APD,Air Products And Chemicals Inc,Materials
BSX,Boston Scientific Corp,Health Care
OXY,Occidental Petroleum Corp,Energy
MCO,Moodys Corp,Financials
SNPS,Synopsys Inc,Information Technology
DG,Dollar General Corp,Consumer Discretionary
GM,General Motors,Consumer Discretionary
KDP,Keurig Dr Pepper Inc.,Consumer Staples
PXD,Pioneer Natural Resource,Energy
CNC,Centene Corp,Health Care
MET,Metlife Inc,Financials
KLAC,KLA-Tencor Corporation,Information Technology
MAR,Marriott International Inc,Consumer Discretionary
MCK,Mckesson Corp,Health Care
AEP,American Electric Power Inc,Utilities
EMR,Emerson Electric,Industrials
SRE,Sempra Energy,Utilities
CDNS,Cadence Design Systems Inc,Information technology
ADSK,Autodesk Inc,Information Technology
ECL,Ecolab Inc,Materials
SLB,Schlumberger Nv,Energy
PAYX,Paychex Inc,Information Technology
NXPI,NXP Semiconductors Nv,Information Technology
MNST,Monster Beverage Corp,Consumer Staples
ADM,Archer-Daniels-Midland Company,Consumer Staples
MPC,Marathon Petroleum Corp,Energy
HSY,Hershey Foods,Consumer Staples
CMG,Chipotle Mexican Grill Inc,Consumer Discretionary
KHC,Kraft Heinz,Consumer Staples
APH,Amphenol Corp,Information Technology
ORLY,Oreilly Automotive Inc,Consumer Discretionary
STZ,Constellation Brands Class A,Consumer Staples
RSG,Republic Services Inc,Industrials
KMB,Kimberly Clark Corp,Consumer Staples
ROP,Roper Technologies Inc,Information Technology
GIS,General Mills Inc,Consumer Staples
LHX,"L3Harris Technologies, Inc.",Industrials
EXC,Exelon Corp,Utilities
IQV,"IQVIA Holdings, Inc.",Health Care
AZO,Autozone Inc,Consumer Discretionary
CTVA,"Corteva, Inc.",Materials
FCX,"Freeport-McMoRan, Inc.",Materials
VLO,Valero Energy Corp,Energy
O,Realty Income Corporation,Real Estate
COF,Capital One Financial Corp,Financials
CTAS,Cintas Corp,Industrials
SYY,Sysco Corp,Consumer Staples
TEL,TE Connectivity Ltd,Information Technology
AIG,American International Group Inc,Financials
PSX,Phillips 66,Energy
MSI,Motorola Solutions Inc,Information Technology
XEL,Xcel Energy Inc,Utilities
KMI,Kinder Morgan Inc,Energy
WMB,Williams Inc,Energy
FTNT,Fortinet Inc,Information Technology
DVN,Devon Energy Corp,Energy
TRV,Travelers Companies Inc,Financials
MCHP,Microchip Technology Inc,Information Technology
JCI,Johnson Controls International Plc,Industrials
MSCI,MSCI Inc,Financials
AFL,Aflac Inc,Financials
DOW,Dow Inc.,Materials
AJG,Arthur J Gallagher,Financials
ENPH,Enphase Energy Inc,Information Technology
A,Agilent Technologies Inc,Health Care
ANET,Arista Networks Inc,Information Technology
PH,Parker-Hannifin Corp,Industrials
PRU,Prudential Financial Inc,Financials
TT,Trane Technologies plc,Industrials
DLR,"Digital Realty Trust, Inc",Real Estate
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary
DLTR,Dollar Tree Inc,Consumer Discretionary
GPN,Global Payments Inc,Information Technology
EA,Electronic Arts Inc,Communication Services
SBAC,SBA Communications Corporation,Real Estate
SPG,"Simon Property Group, Inc",Real Estate
CARR,Carrier Global Corporation,Industrials
NUE,Nucor Corp,Materials
BF.B,Brown Forman Inc Class B,Consumer Staples
TDG,Transdigm Group Inc,Industrials
WELL,Welltower Inc,Real Estate
NEM,Newmont Corporation,Materials
BK,Bank Of New York Mellon Corp,Financials
WBA,Walgreen Boots Alliance Inc,Consumer Staples
CTSH,Cognizant Technology Solutions,Information Technology
HPQ,HP Inc,Information Technology
DXCM,Dexcom Inc,Health Care
ED,Consolidated Edison Inc,Utilities
KR,Kroger,Consumer Staples
ALL,Allstate Corp,Financials
ODFL,Old Dominion Freight Line Inc,Industrials
RMD,Resmed Inc,Health Care
ILMN,Illumina Inc,Health Care
MTB,M&T Bank Corp,Financials
HES,Hess Corp,Energy
PEG,Public Service Enterprise Group Inc,Utilities
OTIS,Otis Worldwide Corporation,Industrials
TWTR,Twitter Inc,Communication Services
VICI,VICI Properties Inc,Real Estate
YUM,Yum Brands Inc,Consumer Discretionary
WEC,WEC Energy Group Inc,Utilities
WBD,"Warner Bros. Discovery, Inc. - Series A",Communication Services
PCAR,Paccar Inc,Industrials
ALB,Albemarle Corp,Materials
CMI,Cummins Inc,Industrials
ES,Eversource Energy,Utilities
ROST,Ross Stores Inc,Consumer Discretionary
PPG,PPG Industries Inc,Materials
FAST,Fastenal,Industrials
VRSK,Verisk Analytics Inc,Industrials
BIIB,Biogen Inc,Health Care
IDXX,Idexx Laboratories Inc,Health Care
IFF,International Flavors & Fragrances,Materials
ABC,AmerisourceBergen Corp,Health Care
GLW,Corning Inc,Information Technology
DD,"DuPont de Nemours, Inc.",Materials
CPRT,Copart Inc,Industrials
AMP,Ameriprise Finance Inc,Financials
BAX,Baxter International Inc,Health Care
KEYS,Keysight Technologies Inc,Information Technology
AVB,"AvalonBay Communities, Inc",Real Estate
ON,ON Semiconductor Corp,Information Technology
MTD,Mettler Toledo Inc,Health Care
DFS,Discover Financial Services,Financials
EQR,Equity Residential,Real Estate
ROK,Rockwell Automation Inc,Industrials
AME,Ametek Inc,Industrials
TSN,Tyson Foods Inc Class A,Consumer Staples
TROW,T Rowe Price Group Inc,Financials
LYB,Lyondellbasell Industries NV,Materials
GWW,W.W. Grainger Inc,Industrials
FRC,First Republic Bank,Financials
APTV,Aptiv Plc,Consumer Discretionary
LVS,Las Vegas Sands Corp,Consumer Discretionary
AWK,American Water Works Inc,Utilities
EXR,Extra Space Storage Inc,Real Estate
OKE,Oneok Inc,Energy
SIVB,SVB Financial Group,Financials
CBRE,CBRE Group Inc,Real Estate
ARE,"Alexandria Real Estate Equities, Inc",Real Estate
HRL,Hormel Foods Corp,Consumer Staples
WY,Weyerhaeuser Company,Real Estate
EIX,Edison International,Utilities
STT,State Street Corp,Financials
DHI,D R Horton Inc,Consumer Discretionary
EBAY,Ebay Inc,Consumer Discretionary
CEG,Constellation Energy Corporation,Utilities
EFX,Equifax Inc,Industrials
DTE,DTE Energy,Utilities
BKR,Baker Hughes Company Class A,Energy
K,Kellogg,Consumer Staples
FITB,Fifth Third Bancorp,Financials
EPAM,Epam Systems Inc,Information Technology
HAL,Halliburton,Energy
LEN,Lennar Corporation Class A,Consumer Discretionary
IT,Gartner Inc,Information Technology
DRE,Duke Realty Corporation,Real Estate
MPWR,Monolithic Power Systems Inc,Information Technology
ETR,Entergy Corp,Utilities
AEE,Ameren Corp,Utilities
CDW,CDW Corp,Information Technology
WST,West Pharmaceutical Services Inc,Health Care
ANSS,Ansys Inc,Information Technology
MKC,McCormick & Co Non-voting,Consumer Staples
FTV,Fortive Corp,Industrials
ZBH,Zimmer Biomet Holdings Inc,Health Care
WTW,Willis Towers Watson Public Limited Company,Financials
LH,Laboratory Corporation Of America,Health Care
RJF,Raymond James Inc,Financials
PAYC,Paycom Software Inc,Information Technology
URI,United Rentals Inc,Industrials
VMC,Vulcan Materials,Materials
LUV,Southwest Airlines,Industrials
FE,Firstenergy Corp,Utilities
CTRA,Coterra Energy Inc.,Energy
MLM,Martin Marietta Materials Inc,Materials
LYV,Live Nation Entertainment Inc,Communication Services
TTWO,Take Two Interactive Software Inc,Communication Services
PPL,PPL Corporation,Utilities
TSCO,Tractor Supply,Consumer Discretionary
DAL,Delta Air Lines Inc,Industrials
ALGN,Align Technology Inc,Health Care
HIG,Hartford Financial Services Group,Financials
GPC,Genuine Parts,Consumer Discretionary
VRSN,Verisign Inc,Information Technology
FANG,Diamondback Energy Inc,Energy
MAA,"Mid-America Apartment Communities, Inc",Real Estate
IR,Ingersoll Rand Plc,Industrials
RF,Regions Financial Corp,Financials
NTRS,Northern Trust Corporation,Financials
CHD,Church And Dwight Inc,Consumer Staples
STE,STERIS PLC,Health Care
ULTA,Ulta Beauty Inc,Consumer Discretionary
HBAN,Huntington Bancshares Inc,Financials
BR,Broadridge Financial Solutions Inc,Information Technology
CNP,Centerpoint Energy Inc,Utilities
CF,CF Industries Holdings Inc,Materials
CMS,CMS Energy Corp,Utilities
PWR,Quanta Services Inc,Industrials
DOV,Dover Corp,Industrials
VTR,"Ventas, Inc",Real Estate
JBHT,JB Hunt Transport Services Inc,Industrials
AMCR,Amcor plc,Materials
CFG,Citizens Financial Group Inc,Financials
PKI,Perkinelmer Inc,Health Care
WAT,Waters Corp,Health Care
MOS,Mosaic,Materials
PFG,Principal Financial Group Inc,Financials
CTLT,Catalent Inc,Health Care
ESS,"Essex Property Trust, Inc",Real Estate
MOH,Molina Healthcare Inc,Health Care
HPE,Hewlett Packard Enterprise,Information Technology
BALL,Ball Corporation,Materials
FOX,Fox Corporation Class B,Communication Services
FOXA,Fox Corporation Class A,Communication Services
BRO,Brown & Brown Inc,Financials
GRMN,Garmin Ltd,Consumer Discretionary
MTCH,Match Group Inc,Communication Services
BBY,Best Buy Inc,Consumer Discretionary
CAH,Cardinal Health Inc,Health Care
TDY,Teledyne Technologies Inc,Information Technology
XYL,Xylem Inc,Industrials
VFC,VF Corp,Consumer Discretionary
KEY,Keycorp,Financials
CLX,Clorox,Consumer Staples
ROL,Rollins Inc,Industrials
NDAQ,Nasdaq Inc,Financials
HOLX,Hologic Inc,Health Care
EXPD,Expeditors International Of Washington,Industrials
COO,"Cooper Companies, Inc.",Health Care
ZBRA,Zebra Technologies Corp,Information Technology
SWKS,Skyworks Solutions Inc,Information Technology
EXPE,Expedia Inc,Consumer Discretionary
TRMB,Trimble Inc,Information Technology
PARA,Paramount Global - Class B,Communication Services
WRB,WR Berkley Corp,Financials
WAB,Westinghouse Air Brake Technologies,Industrials
FLT,Fleetcor Technologies Inc,Information Technology
SYF,Synchrony Financial,Financials
SEDG,SolarEdge Technologies Inc,Information Technology
J,Jacobs Engineering Group Inc.,Industrials
STX,Seagate Technology Plc,Information Technology
TYL,Tyler Technologies Inc,Information Technology
GNRC,Generac Holdings Inc,Industrials
FDS,Factset Research Systems Inc,Financials
CAG,Conagra Brands Inc,Consumer Staples
CINF,Cincinnati Financial Corp,Financials
AES,AES Corp,Utilities
INCY,Incyte Corp,Health Care
DRI,Darden Restaurants Inc,Consumer Discretionary
KMX,Carmax Inc,Consumer Discretionary
AVY,Avery Dennison Corp,Materials
ATO,Atmos Energy Corp,Utilities
NTAP,NetApp Inc,Information Technology
IEX,IDEX Corp,Industrials
DGX,Quest Diagnostics Inc,Health Care
UDR,"UDR, Inc",Real Estate
EVRG,Evergy Inc,Utilities
MRO,Marathon Oil Corp,Energy
IP,International Paper,Materials
HWM,Howmet Aerospace Inc.,Industrials
LNT,Alliant Energy Corp,Utilities
TER,Teradyne Inc,Information Technology
BIO,Bio Rad Laboratories Inc Class A,Health Care
IRM,Iron Mountain Incorporated,Real Estate
CPT,Camden Property Trust,Real Estate
AKAM,Akamai Technologies Inc,Information Technology
POOL,Pool Corp,Consumer Discretionary
LKQ,LKQ Corp,Consumer Discretionary
WDC,Western Digital Corp,Information Technology
JKHY,"Jack Henry & Associates, Inc.",Information Technology
SWK,Stanley Black & Decker Inc,Industrials
ETSY,Etsy Inc,Consumer Discretionary
PEAK,"Healthpeak Properties, Inc.",Real Estate
CPB,Campbell Soup,Consumer Staples
OMC,Omnicom Group Inc,Communication Services
SJM,J.M. Smucker,Consumer Staples
DPZ,Dominos Pizza Inc,Consumer Discretionary
KIM,Kimco Realty Corporation,Real Estate
NVR,"NVR, Inc.",Consumer Discretionary
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials
PTC,PTC Inc,Information Technology
TECH,Bio-Techne Corp,Health Care
TXT,Textron Inc,Industrials
BEN,Franklin Resources Inc,Financials
FMC,FMC Corp,Materials
MGM,MGM Resorts International,Consumer Discretionary
L,Loews Corp,Financials
NDSN,Nordson Corp,Industrials
BXP,"Boston Properties, Inc",Real Estate
HST,"Host Hotels & Resorts, Inc",Real Estate
NLOK,NortonLifeLock Inc.,Information Technology
LDOS,Leidos Holdings Inc,Industrials
PKG,Packaging Corp Of America,Materials
VTRS,Viatris Inc.,Health Care
ABMD,Abiomed Inc,Health Care
UAL,United Continental Holdings Inc,Industrials
CTXS,Citrix Systems Inc,Information Technology
NI,Nisource Inc,Utilities
CE,Celanese Corporation,Materials
CBOE,"Cboe Global Markets, Inc.",Financials
AAP,Advance Auto Parts Inc,Consumer Discretionary
MAS,Masco Corp,Industrials
SBNY,Signature Bank,Financials
EMN,Eastman Chemical,Materials
SNA,Snap On Inc,Industrials
CCL,Carnival Corp,Consumer Discretionary
IPG,Interpublic Group Of Companies Inc,Communication Services
LW,Lamb Weston Holdings Inc,Consumer Staples
TFX,Teleflex Inc,Health Care
LUMN,"CenturyLink, Inc.",Communication Services
CRL,Charles River Laboratories International,Health Care
REG,Regency Centers Corporation,Real Estate
TAP,Molson Coors Brewing Class B,Consumer Staples
HAS,Hasbro Inc,Consumer Discretionary
CMA,Comerica Inc,Financials
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
CZR,Caesars Entertainment Corp,Consumer Discretionary
QRVO,"Qorvo, Inc.",Information Technology
WRK,Westrock,Materials
RE,Everest Re Group Ltd,Financials
NWS,News Corp Class B,Communication Services
NWSA,News Corp Class A,Communication Services
APA,Apache Corp,Energy
CDAY,Ceridian HCM Holding Inc.,Information Technology
MKTX,Marketaxess Holdings Inc,Financials
HSIC,Henry Schein Inc,Health Care
AOS,A O Smith Corp,Industrials
PHM,Pultegroup Inc,Consumer Discretionary
FFIV,F5 Networks Inc,Information Technology
DISH,Dish Network Corp Class A,Communication Services
GL,Globe Life Inc.,Financials
AAL,American Airlines Group Inc,Materials
NRG,NRG Energy Inc,Utilities
NLSN,Nielsen Holdings Plc,Industrials
WHR,Whirlpool Corp,Consumer Discretionary
ALLE,Allegion PLC,Industrials
BWA,BorgWarner Inc,Consumer Discretionary
JNPR,Juniper Networks Inc,Information Technology
BBWI,"Bath & Body Works, Inc.",Consumer Discretionary
TPR,Tapestry,Consumer Discretionary
HII,Huntington Ingalls Industries Inc,Industrials
UHS,Universal Health Services Inc.,Health Care
FRT,Federal Realty Investment Trust,Real Estate
FBHS,Fortune Brands Home And Security,Industrials
AIZ,Assurant Inc,Financials
RHI,Robert Half,Industrials
ZION,Zions Bancorporation,Financials
NWL,Newell Brands Inc,Consumer Discretionary
PNW,Pinnacle West Corp,Utilities
LNC,Lincoln National Corp,Financials
IVZ,Invesco Ltd,Financials
SEE,Sealed Air Corp,Materials
DVA,Davita Inc,Health Care
PNR,Pentair,Industrials
MHK,Mohawk Industries Inc,Consumer Discretionary
OGN,Organon & Co.,Health Care
XRAY,Dentsply Sirona Inc,Health Care
WYNN,Wynn Resorts Ltd,Consumer Discretionary
RL,Ralph Lauren Corp Class A,Consumer Discretionary
DXC,DXC Technology Company,Information Technology
ALK,Alaska Air Group Inc,Industrials
PENN,Penn National Gaming Inc,Consumer Discretionary
VNO,Vornado Realty Trust,Real Estate
PVH,PVH Corp,Consumer Discretionary
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary
